Title,Genre,User Rating,Number of Votes,Year,Runtime,Summary,genres_clean,era,rating_norm,popularity,feature_str,cluster,cluster_label
"Reborn as a Vending Machine, I Now Wander the Dungeon","Animation, Comedy, Fantasy",6.0,158.0,2023.0,,"A vending machine fanatic meets his demise when he is, quite ironically, crushed by a vending machine. He finds himself reincarnated as a vending machine in another world.",animation  comedy  fantasy,recent,0.5243902439024389,0.38209188544687733,animation  comedy  fantasy recent,8,Animation & Action
Psycho-Pass: Providence,"Animation, Action, Crime",7.0,218.0,2023.0,120 min,"While attending a meeting as a Chief Inspector of the Public Security Bureau, Akane Tsunemori received a report that an incident had occurred on a foreign vessel, and this was the beginning of a big and unexpected case.",animation  action  crime,recent,0.646341463414634,0.489677603408616,animation  action  crime recent,8,Animation & Action
Dark Gathering,"Animation, Fantasy, Horror",7.1,117.0,2023.0,,"Keitarô Gentôga takes a part-time job tutoring the child prodigy, Yayoi Hôzuki. Little does he know she's a gifted medium hell-bent on finding the spirit behind her mother's vanishing and she's gravely determined to drag Keitarô into it.",animation  fantasy  horror,recent,0.6585365853658535,0.281881324982327,animation  fantasy  horror recent,0,Animation & Drama
Bee & Puppycat: Lazy in Space,"Animation, Comedy, Sci-Fi",8.6,657.0,2022.0,25 min,The second season of beloved web series Bee and PuppyCat after a nearly five year break. The season picks back up the cheerful 22-year old Bee and intergalactic space warrior for a set of adventures.,animation  comedy  sci fi,recent,0.8414634146341462,0.8593547571989343,animation  comedy  sci fi recent,0,Animation & Drama
Gamera -Rebirth-,"Animation, Action, Adventure",7.5,67.0,2023.0,47 min,"In the summer of 1989, four kids in Tokyo witness the emergence of the turtle kaiju Gamera, who bravely stands up against giant human-eating monsters.",animation  action  adventure,recent,0.7073170731707316,0.09666964836132377,animation  action  adventure recent,8,Animation & Action
Reign of the Seven Spellblades,"Animation, Action, Fantasy",6.5,156.0,2023.0,,"Follows Oliver Horn as he enters a prestigious magic school named Kimberly. He discovers that not everything is as it seems, with the emergence of labyrinths, monsters, and other threats that endanger the students.",animation  action  fantasy,recent,0.5853658536585364,0.37783829131778174,animation  action  fantasy recent,8,Animation & Action
The Great Cleric,"Animation, Adventure, Fantasy",6.4,117.0,2023.0,,"Earth's God of Destiny lost to Galdardia's Chief God for a bet and chose ten souls to hand over. Galdardia's Chief God handed those ten souls new vessels. Among those souls was Luciel, a salaryman, who fought against his destiny of death.",animation  adventure  fantasy,recent,0.573170731707317,0.281881324982327,animation  adventure  fantasy recent,8,Animation & Action
Grappler Baki: The Ultimate Fighter,"Animation, Action, Sport",6.8,527.0,1994.0,45 min,"Baki Hanma is a expert martial artist who enters a martial arts tournament and can never be defeated, until he goes up against Kosho Shinogi, a man who wins his matches by ripping out his opponent's jugular veins.",animation  action  sport,nineties,0.621951219512195,0.7853917695672074,animation  action  sport nineties,0,Animation & Drama
Why Raeliana Ended Up at the Duke's Mansion,"Animation, Drama, Fantasy",7.4,540.0,2023.0,23 min,"Living inside a fairy tale may sound like a dream, but for this heroine, it's more of a nightmare. After her mysterious death, Rinko is reborn as Raeliana - a loved and wealthy character in a novel. But she knows the ending: her murder at the hands of her fiancé. So, she hatches a plan to stay alive, one that involves a devilish duke and a phony engagement. Can she rewrite her story?",animation  drama  fantasy,recent,0.6951219512195121,0.793565012227969,animation  drama  fantasy recent,0,Animation & Drama
High School of the Dead: Drifters of the Dead,"Animation, Short, Comedy",5.6,641.0,2011.0,16 min,"Our team of apocalyptic survivors find themselves on a remote island. They drop their guard and the woman begin to have a much needed break while the men search for food. While waiting for the food to cook a chemical is inhaled by the group which causes them to hallucinate, seeing their fleshly desires.",animation  short  comedy,twenty-tens,0.47560975609756084,0.8510828453725539,animation  short  comedy twenty-tens,3,Animation & Comedy
The Dreaming Boy is a Realist,"Animation, Comedy, Romance",6.9,115.0,2023.0,,"Wataru Sajou, who is deeply in love with his beautiful classmate Aika Natsukawa, approaches her without getting discouraged while having dreams about their mutual love. However, one day, he woke up thinking that he is not really fit to be together with someone as good as her. Upon realizing this, Wataru started keeping an appropriate distance from her, much to Aika's surprise. Did his intentions slip by her because she was getting impatient after arriving at the wrong conclusion? This is the start of a romcom revolving around two people who just can't get their feelings across and both think their love is unrequited.",animation  comedy  romance,recent,0.6341463414634145,0.276137091955583,animation  comedy  romance recent,2,Animation & Comedy
Alice in Borderland,"Animation, Action, Fantasy",6.8,559.0,2014.0,23 min,A group of bored delinquents are transported to a parallel wasteland as part of a survival game.,animation  action  fantasy,twenty-tens,0.621951219512195,0.8051639103827418,animation  action  fantasy twenty-tens,0,Animation & Drama
Doraemon the Movie: Nobita's Sky Utopia,"Animation, Adventure, Comedy",6.9,631.0,2023.0,107 min,"The film will be set in a perfect world in the sky, where everyone lives happily. Doraemon and Nobita set out on an adventure to find the utopia with the help of a new gadget of Doraemon.",animation  adventure  comedy,recent,0.6341463414634145,0.8458075494451637,animation  adventure  comedy recent,8,Animation & Action
Classroom for Heroes,"Animation, Action, Fantasy",5.8,124.0,2023.0,,"A long time ago, there existed a Demon Lord who terrorized throughout the world until a Hero stepped up to the stage and challenged the Demon Lord, ultimately defeating him and ending his reign. The Hero then created Rosewood Academy, an academy made to help heroes-in-training achieve supremacy and help defend the world when needed that enrolls only the best of the best. Enter Arnest Flaming, a girl with a high sense of duty and the top student at the academy, hence receiving the alias ""Empress of Flames"" who one day encounters the lively, carefree new transfer student Blade, a boy who seems to equal her in power, something that she finds really irritating. Arnest was then personally requested by The King to supervise, and show Blade around the academy during his stay. The story follows the students' struggles in their quest to become heroes.",animation  action  fantasy,recent,0.4999999999999999,0.3012464040288374,animation  action  fantasy recent,8,Animation & Action
Am I Actually the Strongest?,"Animation, Adventure, Fantasy",6.6,191.0,2023.0,,"To be reincarnated into another world with the promise of a ""cheat"" power is one thing... but to be reborn as a baby, and then left for dead after your royal parents think you're powerless?? That's another thing entirely! Now the newly-born Reinhart--or Hart to his new friends--must find his way through a dangerous world...but luckily he's got magic that's quite literally off the charts!",animation  adventure  fantasy,recent,0.597560975609756,0.4454640723682653,animation  adventure  fantasy recent,8,Animation & Action
My Unique Skill Makes Me OP Even at Level 1,"Animation, Comedy, Fantasy",6.5,141.0,2023.0,,"Ryôta Satô was reincarnated to another world, but he was burdened which his level is fixed to 1 in another world. Although he wasn't able to raise his level, he had a skill to create a cheat-like item that shouldn't exist from monsters.",animation  comedy  fantasy,recent,0.5853658536585364,0.34409463481927477,animation  comedy  fantasy recent,8,Animation & Action
Sailor Moon Cosmos,"Animation, Action, Adventure",7.8,123.0,2023.0,80 min,The Sailor Senshi team up with the Sailor Starlights to stop Sailor Galaxia from conquering the galaxy.,animation  action  adventure,recent,0.7439024390243901,0.29854735779722885,animation  action  adventure recent,8,Animation & Action
The Titan's Bride,"Animation, Comedy, Fantasy",5.8,436.0,2020.0,,"Koichi, a student about to graduate, is summoned to a world of Titans. It's the land of Tildant, where the prince, Caius, appears in front of Koichi and says, ""I want you to be my bride and give birth to my baby!""",animation  comedy  fantasy,recent,0.4999999999999999,0.7218274010853982,animation  comedy  fantasy recent,8,Animation & Action
"The Tunnel to Summer, the Exit of Goodbyes",Animation,6.8,955.0,2022.0,83 min,"Kaoru Tono heard a rumor: The laws of space and time mean nothing to the Urashima Tunnel. If you find it, walk through and you'll find your heart's desire on the other side...in exchange for years of your own life.",animation,recent,0.621951219512195,0.9848795599091802,animation recent,8,Animation & Action
The Reincarnation of the Strongest Exorcist in Another World,"Animation, Action, Adventure",7.1,764.0,2023.0,23 min,"Haruyoshi Kuga uses a reincarnation spell to bring Seika Lamprogue happiness, but his onmyo art exceeds the world's magic.",animation  action  adventure,recent,0.6585365853658535,0.9099846175824567,animation  action  adventure recent,8,Animation & Action
Bikini Warriors,"Animation, Comedy, Fantasy",4.9,458.0,2015.0,4 min,"When darkness threatens the world, four heroines hold the only hope for salvation - if they can even manage to get out of the first town, that is.",animation  comedy  fantasy,twenty-tens,0.39024390243902435,0.7383321645722365,animation  comedy  fantasy twenty-tens,2,Animation & Comedy
Ayaka: A Story of Bonds and Wounds,"Animation, Fantasy",6.8,59.0,2023.0,,"As an orphan, Yukito Yanagi's life is filled with questions, but that all changed when he meets his father's disciple who takes him to his birthplace on Ayaka. A strange island filled with legends of dragons and mysterious beings.",animation  fantasy,recent,0.621951219512195,0.0546111463697201,animation  fantasy recent,8,Animation & Action
Hitori No Shita - The Outcast,"Animation, Action, Adventure",7.0,274.0,2015.0,,"The protagonist, Cho Soran, leads a very common college student's life until he finds himself caught up in a terrible incident that happened in a small village. As he was walking through a graveyard, Cho Soran is assaulted by zombies. Thinking that it was over for him, a mysterious girl carrying a sword suddenly saves him and disappears. This strange encounter is going to change drastically the fate of our hero.",animation  action  adventure,twenty-tens,0.646341463414634,0.5661912965788828,animation  action  adventure twenty-tens,5,Animation & Action
Liar Liar,"Animation, Comedy, Drama",6.2,119.0,2023.0,24 min,"At Academy Island, everything is settled through ""Games"" waged for a certain number of stars, with the strongest student being granted the ranking of Seven Stars. Hiroto, a transfer student, unexpectedly beats the strongest empress and becomes the pseudo-strongest in the school. A mind game of lies and bluffs begins.",animation  comedy  drama,recent,0.548780487804878,0.2875290116934411,animation  comedy  drama recent,8,Animation & Action
My Tiny Senpai,"Animation, Comedy, Romance",7.2,86.0,2023.0,,"Takuma is an office worker who is taken care of and coddled by his senior team member Shiori, who is a gorgeous, profoundly kind, loving, and diminutive woman. Takuma certainly hopes that she's not doing it out of duty - but her joy of doing so increasingly exposes her feelings.",animation  comedy  romance,recent,0.6707317073170731,0.17946744359425937,animation  comedy  romance recent,2,Animation & Comedy
Insomniacs After School,"Animation, Comedy, Drama",7.9,643.0,2023.0,24 min,Two insomniac students meet and start to spend their nights in an observatory together.,animation  comedy  drama,recent,0.7560975609756097,0.8521280389033565,animation  comedy  drama recent,8,Animation & Action
Triage X,"Animation, Action",6.1,292.0,2015.0,,"A vigilante organization known as ""Black Label"" task themselves with killing undesirable people.",animation  action,twenty-tens,0.5365853658536583,0.5874960715187818,animation  action twenty-tens,0,Animation & Drama
Dead Mount Death Play,"Animation, Action, Fantasy",6.8,637.0,2023.0,23 min,A necromancer in a distant era incarnates himself into a young boy in modern Tokyo. But he gets caught in a mystery about the boy and his own past.,animation  action  fantasy,recent,0.621951219512195,0.848982654478246,animation  action  fantasy recent,8,Animation & Action
Blue Giant,"Animation, Drama, Music",8.2,367.0,2023.0,120 min,"Dai Miyamoto, a student from Sendai, receives a saxophone as a gift from his brother, Masayuki. He starts practicing immediately.",animation  drama  music,recent,0.7926829268292681,0.6640806538991003,animation  drama  music recent,0,Animation & Drama
Pokémon Journeys: The Series,"Animation, Adventure, Comedy",7.2,930.0,2019.0,25 min,"With his partner Goh and his Pokémon Scorbunny in the Galar region, Ash with his Pikachu tries to capture Mew and all the Pokémon. Meanwhile, the three members of Team Rocket Jessie, James and Meowth return to their old competence from the original series to follow Ash to try to steal Pikachu or any other Pokémon, but the absences of Team Rocket's comical trio introduced in the Black and White series are replaced by scenes involving conversations from the Team Rocket trio with Giovanni via video calls or by scenes in comic relief that involve the Team Rocket trio planning to steal Pikachu or any other Pokémon, even when the Team Rocket trio is in disguise .",animation  adventure  comedy,twenty-tens,0.6707317073170731,0.9759752379243996,animation  adventure  comedy twenty-tens,3,Animation & Comedy
Baki,"Animation, Short, Action",7.6,187.0,2016.0,15 min,A short preview of the 2018 Baki anime.,animation  short  action,twenty-tens,0.7195121951219511,0.43838950687095707,animation  short  action twenty-tens,0,Animation & Drama
Yakitori: Soldiers of Misfortune,"Animation, Action, Adventure",6.5,499.0,2023.0,45 min,"A young man's rebel against authorities on a future version of Earth, after he has been recruited into an interplanetary military unit that suffers a 70% casualty rate.",animation  action  adventure,recent,0.5853658536585364,0.7670821346762791,animation  action  adventure recent,8,Animation & Action
Queen's Blade: The Exiled Virgin,"Animation, Action, Adventure",6.1,467.0,2009.0,24 min,"Multiple women from around the continent come together to prepare for the Queen's Blade tournament, a tournament that tests the skills of the warriors.",animation  action  adventure,two-thousands,0.5365853658536583,0.7448572132680347,animation  action  adventure two-thousands,4,Animation & Action
Skip and Loafer,"Animation, Comedy, Drama",7.9,918.0,2023.0,23 min,"Mitsumi moves to Tokyo to attend a prestigious school and achieve her dreams of making positive change in the world. But while she's got book smarts, she soon finds herself inexperienced in big city norms, and struggles to make friends.",animation  comedy  drama,recent,0.7560975609756097,0.9716158758213022,animation  comedy  drama recent,8,Animation & Action
Sacrificial Princess & the King of Beasts,"Animation, Drama, Fantasy",6.7,134.0,2023.0,23 min,"The king of the beasts and demons receives female human sacrifices to assert the dominance over the human race. However, the 99th sacrifice intrigues him and lets her stay as his consort.",animation  drama  fantasy,recent,0.6097560975609755,0.32710758029451475,animation  drama  fantasy recent,0,Animation & Drama
Cleopatra,"Animation, Adventure, Comedy",6.1,784.0,1970.0,112 min,"To decipher a scheme plotted by enemy aliens, three agents from the future travel to Cleopatra's time, where they witness her romances with Caesar and Mark Antony.",animation  adventure  comedy,classic,0.5365853658536583,0.9186568266141204,animation  adventure  comedy classic,0,Animation & Drama
The Girl I Like Forgot Her Glasses,"Animation, Comedy, Romance",6.7,199.0,2023.0,,A schoolboy develops a crush on his short-sighted schoolgirl classmate. Will he get close enough for her to see his feelings?,animation  comedy  romance,recent,0.6097560975609755,0.4591814647036614,animation  comedy  romance recent,2,Animation & Comedy
Ayakashi Triangle,"Animation, Action, Comedy",6.4,91.0,2023.0,,"Matsuri Kazamaki and Suzu Kanade are childhood friends, bonded by their shared ability to see ayakashi - youkai in search of a life force to devour. However, in high school, their relationship deteriorates. As Suzu's one-sided feelings are growing, so is the difference in their ayakashi views: Matsuri considers all ayakashi a threat to his friend, while Suzu is an ayakashi medium: Someone who exudes a significant amount of life force compared to the average human and loves them all despite the risk. When the two stumble upon a talking white cat named Shirogane, they are unaware that it is a four-hundred-year-old ayakashi known as the ""King of Ayakashi."" He is hell-bent on gaining even more power by devouring Suzu, but as Matsuri swoops in to try and save her by sealing Shirogane's powers, the ayakashi uses a jutsu to turn him into a girl instead. Matsuri vows to protect Suzu from further harm as her best friend, but he must learn how to act like a girl until his grandfather, a famous wind jutsu exorcist ninja, can undo the jutsu. Meanwhile, Suzu must work out her romantic feelings for Matsuri now that he is no longer a boy. But when Matsuri takes the king as his pet, the future of the two friends seems uncertain.",animation  action  comedy,recent,0.573170731707317,0.1982449232516584,animation  action  comedy recent,8,Animation & Action
Maken-Ki! Battling Venus,"Animation, Action, Comedy",5.8,547.0,2011.0,25 min,"Takeru Ohyama is a typical perverted teenage boy. His new school doesn't require entrance exams, and it just turned co-ed! Unfortunately, his dreams of a happy high school life are dashed when he finds out the school is much more than it seems. All of the students wield a special item - a Maken - to unleash their magical abilities in duels! Can Takeru find a Maken that works for him? Even while trying to fit in at a new school and dealing with all kinds of girl problems?",animation  action  comedy,twenty-tens,0.4999999999999999,0.7978850095497139,animation  action  comedy twenty-tens,3,Animation & Comedy
TenPuru -No One Can Live on Loneliness-,"Animation, Comedy, Romance",7.4,73.0,2023.0,,"Akemitsu Akegami was always told by his father that ""no one can live alone""...but he's sure determined. After all, his father sure wasn't saying it with the best intentions, and Akemitsu has no desire to become like that creep. But when a chance encounter with a young woman leaves him with thoughts that are all too impure, he decides to do what he must - become a Buddhist monk and renounce worldly ways. But the temple he decides to devote himself to...is full of women? And that same young woman is there, too?? What's a guy to do?",animation  comedy  romance,recent,0.6951219512195121,0.1250834208893111,animation  comedy  romance recent,2,Animation & Comedy
Kanokon,"Animation, Action, Comedy",5.8,530.0,2008.0,,"Kouta, a country boy who lives with his grandfather, is now moving to the city to attend high school. Changes come with his new home and new school, but nothing could have prepared the gentle young man for girls, specifically a bombshell fox spirit named Chizuru. As if her aggressive advances weren't enough, he also catches the attention of a frosty wolf spirit named Nozomu. Kouta is dragged into supernatural events as a result of his contact with the two girls, and his school life only gets more chaotic by the day. But with a girl who gives ""foxy"" new meaning and another howling after him, things are looking up for his love life.",animation  action  comedy,two-thousands,0.4999999999999999,0.7872956242308423,animation  action  comedy two-thousands,4,Animation & Action
Peter Grill to Kenja no Jikan,"Animation, Comedy, Fantasy",5.4,586.0,2020.0,12 min,"Peter Grill is the strongest man in the world, but that means he's got a host of women who are after him and steal him away from the woman he loves.",animation  comedy  fantasy,recent,0.4512195121951219,0.8209868772187068,animation  comedy  fantasy recent,8,Animation & Action
Hip Whip Girl: Keijo!!!!!!,"Animation, Action, Comedy",6.8,994.0,2016.0,25 min,"Young girls participate in a gambling sport known as ""Keijo"", in which contestants stand on floating platforms and must push each other off using their breasts and buttocks.",animation  action  comedy,twenty-tens,0.621951219512195,0.9983156383317572,animation  action  comedy twenty-tens,3,Animation & Comedy
Witch Craft Works,"Animation, Action, Comedy",6.7,572.0,2014.0,22 min,"In a world where humans and witches coexist, the apocalypse is announced. Ayaka, the princess of fire, must protect the young Takayami.",animation  action  comedy,twenty-tens,0.6097560975609755,0.8128754276944509,animation  action  comedy twenty-tens,3,Animation & Comedy
Stillwater,"Animation, Family",8.2,547.0,2020.0,25 min,"Kids with typical kid challenges have Stillwater, a wise panda, as their next-door neighbor. Through his example, Stillwater gives them a deeper understanding of their feelings as well as tools that help them face their own challenges.",animation  family,recent,0.7926829268292681,0.7978850095497139,animation  family recent,0,Animation & Drama
Kemeko Deluxe!,"Animation, Action, Comedy",6.1,89.0,2008.0,24 min,"6-year old Sanpeita Kobayashi got engaged to his childhood friend, a mysterious pink-haired girl who promised they would meet again 10 years later, and she would become his bride. The series begins then.",animation  action  comedy,two-thousands,0.5365853658536583,0.19085936333211745,animation  action  comedy two-thousands,4,Animation & Action
The Seven Deadly Sins: Grudge of Edinburgh Part 2,"Animation, Action, Adventure",6.2,249.0,2023.0,53 min,"Reunited with Lancelot for the first time since their tragic accident, Tristan must learn to conquer his inner demons in order to save his mother's life.",animation  action  adventure,recent,0.548780487804878,0.5341642693525581,animation  action  adventure recent,8,Animation & Action
Digimon Adventure: 2020,"Animation, Action, Adventure",6.8,691.0,2020.0,24 min,Taichi is preparing for a summer camping trip until he encounters a strange phenomenon that sweeps him up into the Digital World along with the other DigiDestined.,animation  action  adventure,recent,0.621951219512195,0.876284265043888,animation  action  adventure recent,8,Animation & Action
Rascal Does Not Dream of a Sister Venturing Out,"Animation, Drama, Fantasy",8.8,74.0,2023.0,73 min,"After a draining December, Sakuta is quickly nearing the end of his second year of high school. Since Mai is a third-year student, they don't have much time left together before graduation rolls around. Meanwhile, his sister, Kaede, is slowly but steadily venturing outdoors again. Just as she begins to find her footing, she announces her most ambitious goal yet-attending her brother's high school. Sakuta knows better than anyone how difficult this will be for Kaede, and he's ready to support her however he can. He's just not sure if that's what's best for her...or what she really wants.",animation  drama  fantasy,recent,0.8658536585365854,0.12959395101861682,animation  drama  fantasy recent,0,Animation & Drama
Muppet Babies,"Animation, Adventure, Comedy",6.6,808.0,2018.0,23 min,Baby versions of Jim Henson's famous Muppet characters go on wacky adventures through their imaginations,animation  adventure  comedy,twenty-tens,0.597560975609756,0.9287764204405243,animation  adventure  comedy twenty-tens,3,Animation & Comedy
Ladies Versus Butlers,"Animation, Comedy, Romance",6.5,408.0,2010.0,,"Heavenly school life? A young man joins a boarding school, surrounded by preppie girls and cute maids. What could go wrong?",animation  comedy  romance,twenty-tens,0.5853658536585364,0.6995761898929374,animation  comedy  romance twenty-tens,2,Animation & Comedy
Sword Art Online the Movie: Progressive - Scherzo of Deep Night,"Animation, Action, Adventure",6.7,708.0,2022.0,101 min,"Two months have passed since the deadly game began, and Kirito and Asuna continue to make progress. They stop for treasure, but then they must face Asuna's least favorite monster.",animation  action  adventure,recent,0.6097560975609755,0.8844395555914911,animation  action  adventure recent,8,Animation & Action
A Thousand & One Nights,"Animation, Action, Adventure",6.5,785.0,1969.0,128 min,"Aldin, a vagabond water vendor, embarks of a series of fantastical and tragic misadventures through the Middle East in search of love, fortune, and power.",animation  action  adventure,classic,0.5853658536585364,0.9190846171865216,animation  action  adventure classic,9,Animation & Adventure
The Duke of Death and His Maid,"Animation, Comedy, Drama",7.2,707.0,2021.0,24 min,"A cursed duke who kills everyone he touches lives in a mansion in the forest, with only a butler and a seductive maid for company. Will he free himself of his curse?",animation  comedy  drama,recent,0.6707317073170731,0.883965272592166,animation  comedy  drama recent,8,Animation & Action
Girls Bravo,"Animation, Comedy, Fantasy",6.5,986.0,2004.0,25 min,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.",animation  comedy  fantasy,two-thousands,0.5853658536585364,0.9956029741613316,animation  comedy  fantasy two-thousands,2,Animation & Comedy
The Seven Deadly Sins: Grudge of Edinburgh Part 1,"Animation, Action, Adventure",5.5,668.0,2022.0,52 min,"When sinister forces threaten the peace of Britannia, a young prince embarks on a perilous journey to save his loved ones and discover his true powers.",animation  action  adventure,recent,0.4634146341463414,0.8649258327194055,animation  action  adventure recent,8,Animation & Action
Farming Life in Another World,"Animation, Fantasy, Romance",7.1,667.0,2023.0,,"Reborn in another world, a young man chooses to live a quiet life as a farmer.",animation  fantasy  romance,recent,0.6585365853658535,0.8644231707719148,animation  fantasy  romance recent,0,Animation & Drama
Love Flops,"Animation, Comedy, Romance",6.2,373.0,2022.0,,Asahi Kashiwagi lives the normal life of a high school student until one day a TV fortune teller's predictions come true one after another. Fate ties his life and five beautiful girls together. But one day something happens.,animation  comedy  romance,recent,0.548780487804878,0.6695152108839868,animation  comedy  romance recent,2,Animation & Comedy
Raven of the Inner Palace,"Animation, Fantasy, History",7.4,321.0,2022.0,23 min,"The Raven Consort is a special consort living deep in the inner palace; Shouxue has the ability to use mysterious arts and will accept any favor asked of her, whether it is to find something lost or to curse someone to death.",animation  fantasy  history,recent,0.6951219512195121,0.6192101735796356,animation  fantasy  history recent,0,Animation & Drama
The Deer King,"Animation, Action, Adventure",6.4,805.0,2021.0,113 min,"The last survivor of a band of warriors is enslaved in a salt mine. One night, savage dogs attack and a mysterious disease wipes out everyone at the mine. The warrior escapes with a little girl, while a gifted physician looks for a cure.",animation  action  adventure,recent,0.573170731707317,0.9275280123820424,animation  action  adventure recent,8,Animation & Action
Helck,"Animation, Action, Adventure",7.3,75.0,2023.0,,A human enters a tournament of demons to become the king of demons.,animation  action  adventure,recent,0.6829268292682925,0.13404473726844518,animation  action  adventure recent,8,Animation & Action
Boro the Caterpillar,"Animation, Short, Adventure",8.0,214.0,2018.0,14 min,A diving bell spider who seems to have fallen in love with a water strider.,animation  short  adventure,twenty-tens,0.7682926829268292,0.4834833367827169,animation  short  adventure twenty-tens,0,Animation & Drama
My Life as Inukai-san's Dog,"Animation, Comedy",4.4,324.0,2023.0,,A boy is transformed into a dog and becomes the pet to a pretty schoolgirl.,animation  comedy,recent,0.3292682926829268,0.6223263886410334,animation  comedy recent,8,Animation & Action
UQ Holder!,"Animation, Action, Fantasy",6.6,472.0,2017.0,23 min,"In the decade since the world became aware of the existence of magic, the world has undergone a massive upheaval. However, a boy named Touta lives in seclusion in a rural town far removed from these changes. His ordinary life is highlighted by his magic-using female teacher and his supportive friends. When his tranquil daily life is disrupted, he embarks on a unique adventure.",animation  action  fantasy,twenty-tens,0.597560975609756,0.7484282293327622,animation  action  fantasy twenty-tens,0,Animation & Drama
